part_number,lot_number,description,manufacturer,quantity,unit,location,category,expiration_date,msds_url,warehouse_id
PR-1422-B2,LOT-2024-001,PR-1422 Class B Sealant - Fuel Tank Sealer,PPG Aerospace,12,tubes,Chemical Storage - Bay 1,Sealants,2026-03-15,,1
PR-1440-B2,LOT-2024-002,PR-1440 Class B Sealant - Faying Surface,PPG Aerospace,8,tubes,Chemical Storage - Bay 1,Sealants,2026-04-20,,1
PR-1776-B2,LOT-2024-003,PR-1776 Class B Sealant - Corrosion Inhibiting,PPG Aerospace,15,tubes,Chemical Storage - Bay 1,Sealants,2026-02-28,,1
PR-1828-B2,LOT-2024-004,PR-1828 Class B Sealant - Brushable,PPG Aerospace,6,each,Chemical Storage - Bay 1,Sealants,2025-12-31,,1
PS-870-B2,LOT-2024-005,PS-870 Class B Sealant - Fuel Tank,PPG Aerospace,10,tubes,Chemical Storage - Bay 1,Sealants,2026-05-10,,1
AC-130-2,LOT-2023-089,AC-130 Sealant - Integral Fuel Tank,Flamemaster,5,each,Chemical Storage - Bay 1,Sealants,2025-11-15,,1
CS-3204-B2,LOT-2024-006,CS-3204 Class B Sealant - Polysulfide,Flamemaster,7,tubes,Chemical Storage - Bay 1,Sealants,2026-01-20,,1
RTV-102,LOT-2024-007,RTV-102 Red Silicone Sealant,GE Silicones,20,tubes,Chemical Storage - Bay 2,RTV/Silicones,2027-06-30,,1
RTV-106,LOT-2024-008,RTV-106 White Silicone Sealant,GE Silicones,18,tubes,Chemical Storage - Bay 2,RTV/Silicones,2027-07-15,,1
RTV-108,LOT-2024-009,RTV-108 Red High Temp Silicone,GE Silicones,15,tubes,Chemical Storage - Bay 2,RTV/Silicones,2027-05-20,,1
RTV-162,LOT-2024-010,RTV-162 Clear Silicone Sealant,GE Silicones,12,tubes,Chemical Storage - Bay 2,RTV/Silicones,2027-08-10,,1
DC-3140,LOT-2024-011,DC-3140 RTV Coating - Conformal,Dow Corning,8,tubes,Chemical Storage - Bay 2,RTV/Silicones,2026-12-31,,1
MEK,LOT-2024-012,Methyl Ethyl Ketone - Solvent,Various,25,gal,Flammable Storage - Cage A,Solvents,2028-12-31,,1
ACETONE,LOT-2024-013,Acetone - General Purpose Solvent,Various,30,gal,Flammable Storage - Cage A,Solvents,2028-12-31,,1
TOLUENE,LOT-2024-014,Toluene - Paint Thinner,Various,15,gal,Flammable Storage - Cage A,Solvents,2028-12-31,,1
IPA,LOT-2024-015,Isopropyl Alcohol 99% - Cleaning Solvent,Various,40,gal,Flammable Storage - Cage A,Solvents,2028-12-31,,1
STODDARD,LOT-2024-016,Stoddard Solvent - Mineral Spirits,Various,20,gal,Flammable Storage - Cage A,Solvents,2028-12-31,,1
SKYDROL-500B4,LOT-2024-017,Skydrol 500B-4 Hydraulic Fluid,Eastman,55,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2027-12-31,,1
SKYDROL-LD4,LOT-2024-018,Skydrol LD-4 Hydraulic Fluid,Eastman,55,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2027-12-31,,1
MIL-PRF-5606H,LOT-2024-019,MIL-PRF-5606H Hydraulic Fluid - Petroleum,Eastman,55,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2028-06-30,,1
MIL-PRF-83282,LOT-2024-020,MIL-PRF-83282 Hydraulic Fluid - Synthetic,Eastman,55,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2028-06-30,,1
ROYCO-782,LOT-2024-021,Royco 782 Hydraulic Fluid,Eastman,5,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2027-09-15,,1
ROYCO-756,LOT-2024-022,Royco 756 Hydraulic Fluid - Mineral,Eastman,5,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2027-09-15,,1
AEROSHELL-33,LOT-2024-023,AeroShell Fluid 33 - Hydraulic,Shell,5,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2027-11-30,,1
AEROSHELL-41,LOT-2024-024,AeroShell Fluid 41 - Hydraulic,Shell,5,gal,Hydraulic Fluids - Area 1,Hydraulic Fluids,2027-11-30,,1
ROYCO-363,LOT-2024-025,Royco 363 Grease - Multi-Purpose,Eastman,12,tubes,Lubricants - Shelf A,Greases,2026-12-31,,1
ROYCO-64,LOT-2024-026,Royco 64 Grease - General Purpose,Eastman,12,tubes,Lubricants - Shelf A,Greases,2026-12-31,,1
AEROSHELL-22,LOT-2024-027,AeroShell Grease 22 - Wheel Bearing,Shell,24,tubes,Lubricants - Shelf A,Greases,2027-03-31,,1
AEROSHELL-33MS,LOT-2024-028,AeroShell Grease 33MS - Multi-Purpose,Shell,18,tubes,Lubricants - Shelf A,Greases,2027-03-31,,1
AEROSHELL-6,LOT-2024-029,AeroShell Grease 6 - General Purpose,Shell,15,tubes,Lubricants - Shelf A,Greases,2027-03-31,,1
AEROSHELL-7,LOT-2024-030,AeroShell Grease 7 - Ball Bearing,Shell,15,tubes,Lubricants - Shelf A,Greases,2027-03-31,,1
MIL-PRF-81322G,LOT-2024-031,MIL-PRF-81322 Grease - Synthetic,Eastman,10,tubes,Lubricants - Shelf A,Greases,2026-08-15,,1
DOW-CORNING-4,LOT-2024-032,Dow Corning 4 Compound - Electrical,Dow Corning,8,tubes,Lubricants - Shelf B,Greases,2027-12-31,,1
DC-55M,LOT-2024-033,DC-55M Grease - Silicone,Dow Corning,6,tubes,Lubricants - Shelf B,Greases,2027-12-31,,1
KRYTOX-240AC,LOT-2024-034,Krytox 240AC Grease - Oxygen Safe,DuPont,4,tubes,Lubricants - Shelf B,Greases,2028-12-31,,1
ALODINE-1200S,LOT-2024-035,Alodine 1200S - Chromate Conversion Coating,Henkel,5,gal,Chemical Storage - Bay 3,Surface Treatment,2026-06-30,,1
ALODINE-1201,LOT-2024-036,Alodine 1201 - Non-Chromate Conversion,Henkel,5,gal,Chemical Storage - Bay 3,Surface Treatment,2026-06-30,,1
TURCO-5578,LOT-2024-037,Turco 5578 - Alkaline Cleaner,Henkel,5,gal,Chemical Storage - Bay 3,Cleaners,2026-09-15,,1
TURCO-4215-NCLT,LOT-2024-038,Turco 4215-NCLT - Aluminum Cleaner,Henkel,5,gal,Chemical Storage - Bay 3,Cleaners,2026-09-15,,1
TURCO-4181,LOT-2024-039,Turco 4181 - Paint Stripper,Henkel,5,gal,Chemical Storage - Bay 3,Paint Strippers,2025-12-15,,1
TURCO-5351,LOT-2024-040,Turco 5351 - Alkaline Paint Remover,Henkel,5,gal,Chemical Storage - Bay 3,Paint Strippers,2025-12-15,,1
ARDROX-6333,LOT-2024-041,Ardrox 6333 - Corrosion Preventive,Chemetall,12,each,Chemical Storage - Bay 4,Corrosion Prevention,2026-11-30,,1
ARDROX-3961,LOT-2024-042,Ardrox 3961 - Water Displacing,Chemetall,12,each,Chemical Storage - Bay 4,Corrosion Prevention,2026-11-30,,1
LPS-3,LOT-2024-043,LPS-3 Heavy Duty Rust Inhibitor,LPS Laboratories,24,each,Chemical Storage - Bay 4,Corrosion Prevention,2027-06-30,,1
ACF-50,LOT-2024-044,ACF-50 Anti-Corrosion Compound,Lear Chemical,18,each,Chemical Storage - Bay 4,Corrosion Prevention,2027-08-31,,1
CORROSIONX,LOT-2024-045,CorrosionX Aviation - Corrosion Inhibitor,CorrosionX,20,each,Chemical Storage - Bay 4,Corrosion Prevention,2027-09-30,,1
BOELUBE,LOT-2024-046,Boelube 70104 - Machining Lubricant,Boelube,10,each,Lubricants - Shelf C,Cutting Fluids,2026-12-31,,1
TAPMATIC,LOT-2024-047,Tapmatic Dual Action Plus - Cutting Fluid,Tapmatic,12,each,Lubricants - Shelf C,Cutting Fluids,2026-12-31,,1
AEROSHELL-W100,LOT-2024-048,AeroShell Oil W100 - Piston Engine,Shell,12,each,Lubricants - Shelf D,Engine Oils,2028-12-31,,1
AEROSHELL-W80,LOT-2024-049,AeroShell Oil W80 - Piston Engine,Shell,12,each,Lubricants - Shelf D,Engine Oils,2028-12-31,,1
AEROSHELL-15W50,LOT-2024-050,AeroShell Oil 15W-50 - Multi-Grade,Shell,12,each,Lubricants - Shelf D,Engine Oils,2028-12-31,,1

